production_id,product_id,production_date,planned_quantity,actual_quantity,defective_quantity,production_line,operator_shift
PR001,P001,2024-01-05,500,480,12,Line-1,Morning
PR002,P002,2024-01-06,200,195,8,Line-2,Morning
PR003,P003,2024-01-08,50,45,3,Line-3,Afternoon
PR004,P004,2024-01-10,300,310,5,Line-1,Morning
PR005,P005,2024-01-12,25,22,2,Line-3,Afternoon
PR006,P006,2024-01-14,600,590,20,Line-2,Night
PR007,P007,2024-01-16,100,100,1,Line-1,Morning
PR008,P008,2024-01-18,250,240,15,Line-2,Afternoon
PR009,P009,2024-01-20,15,13,1,Line-3,Morning
PR010,P010,2024-01-22,2000,1980,45,Line-1,Night
PR011,P001,2024-01-25,500,470,18,Line-1,Afternoon
PR012,P002,2024-01-27,200,198,6,Line-2,Morning
PR013,P003,2024-01-29,50,48,4,Line-3,Night
PR014,P004,2024-02-01,300,295,9,Line-1,Morning
PR015,P005,2024-02-03,25,24,0,Line-3,Afternoon
PR016,P006,2024-02-05,600,615,22,Line-2,Morning
PR017,P007,2024-02-07,100,98,2,Line-1,Night
PR018,P008,2024-02-09,250,245,11,Line-2,Morning
PR019,P009,2024-02-11,15,14,0,Line-3,Afternoon
PR020,P010,2024-02-13,2000,2010,38,Line-1,Morning
